freq,code_indic,unit,geo\TIME_PERIOD,2016,2017,2018,2019,2020,2021,2022,2023,code_name
A,PRIS_ACT_CAP,NR,DE,64291.0,65841.0,65762.0,63146.0,59585.0,57525.0,57465.0,59165.0,Actual number of persons held in prison
A,PRIS_ACT_CAP,NR,FR,68432.0,68974.0,70059.0,70739.0,62543.0,69448.0,72173.0,75913.0,Actual number of persons held in prison
A,PRIS_ACT_CAP,NR,IT,55978.0,59038.0,61131.0,62232.0,54605.0,55349.0,57455.0,61568.0,Actual number of persons held in prison
A,PRIS_ACT_CAP,NR,NL,10601.0,10874.0,11251.0,11777.0,11024.0,11309.0,11238.0,11681.0,Actual number of persons held in prison
A,PRIS_OFF_CAP,NR,DE,73627.0,73603.0,74386.0,72967.0,72355.0,72448.0,72630.0,72300.0,Official prison capacity - persons
A,PRIS_OFF_CAP,NR,FR,58681.0,59765.0,60151.0,61037.0,60598.0,60749.0,60670.0,61767.0,Official prison capacity - persons
A,PRIS_OFF_CAP,NR,IT,50806.0,51078.0,51141.0,51252.0,51126.0,51392.0,51767.0,51704.0,Official prison capacity - persons
A,PRIS_OFF_CAP,NR,NL,,12075.0,12376.0,11613.0,12096.0,12103.0,12469.0,12431.0,Official prison capacity - persons
A,OC2612A,NR,DE,20739.0,,21339.0,,21943.0,,22008.0,,Professional judges
A,OC2612A,NR,FR,,7066.0,7277.0,7427.0,7535.0,7743.0,7680.0,7863.0,Professional judges
A,OC2612A,NR,IT,6368.0,6508.0,6634.0,6737.0,10353.0,10219.0,10265.0,9974.0,Professional judges
A,OC2612A,NR,NL,2331.0,2500.0,2489.0,2488.0,2562.0,2609.0,2636.0,2661.0,Professional judges
A,OC5412,NR,DE,244318.0,246638.0,244800.0,247063.0,250558.0,255146.0,258915.0,263466.0,Police officers
A,OC5412,NR,FR,213563.0,215277.0,215948.0,239838.0,241658.0,243813.0,,,Police officers
A,OC5412,NR,IT,274653.0,,,247397.0,237910.0,,,,Police officers
A,OC5412,NR,NL,50747.0,50316.0,50389.0,50402.0,50628.0,51640.0,51222.0,50940.0,Police officers
A,PRISA,NR,DE,35968.0,36284.0,36413.0,36742.0,37157.0,37538.0,37557.0,,Personnel in adult prison
A,PRISA,NR,FR,,,38133.0,39652.0,40830.0,40706.0,41258.0,41570.0,Personnel in adult prison
A,PRISA,NR,IT,41115.0,40539.0,40004.0,40334.0,39819.0,38958.0,39020.0,38739.0,Personnel in adult prison
A,PRISA,NR,NL,,9755.0,10249.0,10769.0,11486.0,12412.0,12220.0,12488.0,Personnel in adult prison
A,PRISJ,NR,FR,,,439.0,448.0,461.0,460.0,487.0,455.0,Personnel in juvenile prison
A,PRISJ,NR,IT,1110.0,1106.0,1188.0,1170.0,1306.0,1273.0,1260.0,1241.0,Personnel in juvenile prison
A,PRISJ,NR,NL,,609.0,624.0,629.0,678.0,672.0,729.0,811.0,Personnel in juvenile prison
A,PER_CNV,NR,DE,,337.0,266.0,339.0,387.0,326.0,260.0,360.0,Convicted person bribe
A,PER_CNV,NR,FR,136.0,156.0,117.0,125.0,85.0,139.0,151.0,152.0,Convicted person bribe
A,PER_CNV,NR,IT,502.0,415.0,529.0,,,,,,Convicted person bribe
A,PER_CNV,NR,NL,9.0,11.0,9.0,9.0,2.0,7.0,7.0,4.0,Convicted person bribe
A,PER_PRSC,NR,FR,,,,,381.0,451.0,559.0,703.0,Prosecuted person bribe
A,PER_PRSC,NR,NL,,,,,16.0,32.0,22.0,21.0,Prosecuted person bribe
A,PER_SUSP,NR,DE,2545.0,3771.0,3982.0,4025.0,4063.0,4704.0,5046.0,5005.0,Suspected person bribe
A,PER_SUSP,NR,FR,235.0,140.0,389.0,348.0,290.0,475.0,316.0,601.0,Suspected person bribe
A,PER_SUSP,NR,IT,2844.0,2674.0,2254.0,2827.0,2149.0,2081.0,2522.0,2250.0,Suspected person bribe
